GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sboot-payroll-events-service,br.com.example.payroll.service.impl,EventServiceImpl,0,80,0,0,0,18,0,8,0,8
sboot-payroll-events-service,br.com.example.payroll.config,CorrelationWebFilter,11,42,4,2,1,10,3,5,0,5
sboot-payroll-events-service,br.com.example.payroll.config,RedisConfig,0,23,0,0,0,7,0,2,0,2
sboot-payroll-events-service,br.com.example.payroll.exception,GlobalErrorHandler,68,12,4,0,16,3,3,1,1,1
sboot-payroll-events-service,br.com.example.payroll,PayrollEventsApplication,5,3,0,0,2,1,1,1,1,1
sboot-payroll-events-service,br.com.example.payroll.controller,EventController,5,101,2,2,1,16,2,5,0,5
sboot-payroll-events-service,br.com.example.payroll.mapper,EventMapper,3,82,0,0,1,26,1,2,1,2
sboot-payroll-events-service,br.com.example.payroll.service.support,PayrollEventConsolidator,5,82,2,7,1,21,2,7,0,3
sboot-payroll-events-service,br.com.example.payroll.service.support,EventDateRange,0,42,0,0,0,8,0,3,0,3
sboot-payroll-events-service,br.com.example.payroll.repository,PayrollEventRedisRepository,1,76,3,3,0,15,3,6,0,6
